;TickerID|52WeeksHigh|52WeeksLow|sysdate=20130201|Symbol|LongName|FirstDate|Remark|ForeignAvail|PrevNvol
S5041C1909C| | | | | | | |0|0
BAAC56/02/2Y| | | | | | | |0|0
SCB-R| | | | | | | |0|27753700
S5041C1909B| | | | | | | |0|0
SCC13P2002A| | | | | | | |0|0
SCB-Q| | | | | | | |0|0
S5041C1909A| | | | | | | |0|0
NOK-F| | | | | | | |0|0
SCB-P| | | | | | | |0|0
VCOM| | | | | | | |141780348|3084300
BEM-R| | | | | | | |0|60396200
MINT41C2004A| | | | | | | |0|0
STEC42C2004A| | | | | | | |0|0
JAS06C2002A| | | | | | | |0|0
PTTE24C1904A| | | | | | | |0|0
BOT56/2/2Y| | | | | | | |0|0
S5013C1906E| | | | | | | |0|0
S5013C1906D| | | | | | | |0|0
SCB-F| | | | | | | |0|0
S5013C1906C| | | | | | | |0|0
S5013C1906B| | | | | | | |0|0
S5013C1906A| | | | | | | |0|0
BEM-F| | | | | | | |0|0
PTTE11P2106A| | | | | | | |0|0
IVL13C2110A| | | | | | | |0|50851900
CKP11C2110A| | | | | | | |0|3574000
GUNK19C2012A| | | | | | | |0|0
BANP28C2012B| | | | | | | |0|0
TFFIF-F| | | | | | | |0|5000
BANP28C2012A| | | | | | | |0|0
THAN01C2012B| | | | | | | |0|0
THAN01C2012A| | | | | | | |0|0
SCC13P2001A| | | | | | | |0|0
CPN13C2110A| | | | | | | |0|21053100
ADVA13P1908A| | | | | | | |0|0
AOT08C1911A| | | | | | | |0|0
SCB28C2104L| | | | | | | |0|0
SAWA01C2102A| | | | | | | |0|0
SCB13C2003A| | | | | | | |0|0
HMPR11C2011A| | | | | | | |0|0
ADVA01C1912B| | | | | | | |0|0
ADVA01C1912A| | | | | | | |0|0
GULF08C1906A| | | | | | | |0|0
TOP19P2006A| | | | | | | |0|0
PEA21DA| | | | | | | |0|0
CPNREIT| | | | | | | |2347749813|3037600
S5011P2003A| | | | | | | |0|0
SRT55/05/1Y| | | | | | | |0|0
HANA13C2106B| | | | | | | |0|0
TOP41C1910B| | | | | | | |0|0
HANA13C2106A| | | | | | | |0|0
TOP41C1910A| | | | | | | |0|0
PACE-W3-R| | | | | | | |0|0
BH01C1908B| | | | | | | |0|0
BH01C1908A| | | | | | | |0|0
BPP13C2112A| | | | | | | |0|10399300
BH27C1905A| | | | | | | |0|0
PTTG07C1908A| | | | | | | |0|0
MINT41C2002A| | | | | | | |0|0
GGLB21NA| | | | | | | |0|0
KTC01P2007A| | | | | | | |0|0
CPF41C1908A| | | | | | | |0|0
TISC19C1901A| | | | | | | |0|0
SCB28C2103C| | | | | | | |0|0
ADVA19C2101A| | | | | | | |0|0
SCB28C2103B| | | | | | | |0|0
JR-R| | | | | | | |0|2903500
SCB28C2103A| | | | | | | |0|0
KTB01C2009A| | | | | | | |0|0
PK-R| | | | | | | |0|19707700
GUNK19C2010A| | | | | | | |0|0
S5041C1906G| | | | | | | |0|0
BANP28C2010A| | | | | | | |0|0
S5041C1906F| | | | | | | |0|0
MACO| | | | | | | |2650660831|18417800
SALEE| | | | | | | |743732236|11066400
JR-F| | | | | | | |0|0
PK-F| | | | | | | |0|0
MINT41C2001A| | | | | | | |0|0
STEC42C2001A| | | | | | | |0|0
TU24C1904A| | | | | | | |0|0
PTTE24C1901A| | | | | | | |0|0
DOHO11C2101A| | | | | | | |0|0
S5013C1903E| | | | | | | |0|0
S5013C1903D| | | | | | | |0|0
SCB13C2001A| | | | | | | |0|0
S5013C1903C| | | | | | | |0|0
S5013C1903B| | | | | | | |0|0
S5013C1903A| | | | | | | |0|0
BMTA53/07/7Y| | | | | | | |0|0
ADVA41P1908A| | | | | | | |0|0
CKP19C2107B| | | | | | | |0|1050200
WHA06C1903A| | | | | | | |0|0
KTB01C2008B| | | | | | | |0|0
CKP19C2107A| | | | | | | |0|0
TVO13C2109A| | | | | | | |0|1066100
MTC13P2011A| | | | | | | |0|0
HANA13C2104A| | | | | | | |0|0
TQM16C2108A| | | | | | | |0|516800
CK06C2004A| | | | | | | |0|0
MEA54/01/8Y| | | | | | | |0|0
PLAN11C2103A| | | | | | | |0|0
CBG19C1911A| | | | | | | |0|0
NVD-W1| | | | | | | |0|0
BROOK-R| | | | | | | |0|332485900
TLOAN46/01/15Y| | | | | | | |0|0
TRUE-R| | | | | | | |0|112833100
CBG13C2109A| | | | | | | |0|948800
BLA13C1908A| | | | | | | |0|0
BROOK-F| | | | | | | |0|0
BCP19C2012A| | | | | | | |0|0
STEC19C1908A| | | | | | | |0|0
PTTE11P2102A| | | | | | | |0|0
TRUE-F| | | | | | | |0|10500
HANA13C2103A| | | | | | | |0|0
BH01C1905B| | | | | | | |0|0
BH01C1905A| | | | | | | |0|0
ADVA13P1904A| | | | | | | |0|0
BMTA56/12/5Y| | | | | | | |0|0
WHA01P1911A| | | | | | | |0|0
SSSC| | | | | | | |71856480|289900
TPLAS-R| | | | | | | |0|339360700
HMPR19C2007A| | | | | | | |0|0
KTC01P2004A| | | | | | | |0|0
EGAT51/03/10Y| | | | | | | |0|0
BOT62/1/3Y| | | | | | | |0|0
WHA08C1811A| | | | | | | |0|0
S5001P1809G| | | | | | | |0|0
S5001P1809F| | | | | | | |0|0
CBG13C2108A| | | | | | | |0|41735900
KBAN01C1907B| | | | | | | |0|0
KBAN01C1907A| | | | | | | |0|0
TOP19P2002A| | | | | | | |0|0
TCAP01C2111X| | | | | | | |0|204700
TPLAS-F| | | | | | | |0|0
PAF-R| | | | | | | |0|10020400
CKP19C2105A| | | | | | | |0|0
TVO13C2107A| | | | | | | |0|0
BCP19C2011A| | | | | | | |0|0
HANA13C2102B| | | | | | | |0|0
HANA13C2102A| | | | | | | |0|0
AEON06C2108A| | | | | | | |0|590700
KCE28C1911A| | | | | | | |0|0
BGRI28C2003B| | | | | | | |0|0
CK06C2002A| | | | | | | |0|0
BGRI28C2003A| | | | | | | |0|0
PLAN27C1908A| | | | | | | |0|0
PAF-F| | | | | | | |0|0
TU24C1901A| | | | | | | |0|0
MBK24C1910A| | | | | | | |0|0
BEM13C2009A| | | | | | | |0|0
BOT62/1/2Y| | | | | | | |0|0
TNDT| | | | | | | |95702209|1840600
ERW27C1910A| | | | | | | |0|0
CBG13C2107A| | | | | | | |0|492200
SCGP_Futures_Combo| | | | | | | |0|0
CBG06P2111A| | | | | | | |0|37104800
